policy_number,transaction_type,policy_status,policy_issuance_type,policy_term_yrs,product_uin,product_name,plan_name,member_id,vehicle_id,policy_type,policy_procurement_area,policy_issue_date,policy_start_date,policy_end_date,policy_expiry_date,policy_cancellation_termination_date,policy_renewal_indicator,previous_policy_number,first_policy_number,joining_date,renewal_date,total_premium_amt,od_premium_amt,tp_premium_amt,premium_loading_indicator,loading_description,total_loading_amount,premium_paid_till_date,sum_insured_amt,insured_declared_value_amt,basic_premium_rate,no_claim_bonus,deductible_compulsory_amt,deductible_voluntary_amt,zero_depreciation_flag,engine_protect_flag,rti_flag,roadside_assist_flag,key_protect_flag,pa_other_driver_flag,pa_paid_driver_flag,pa_passenger_flag,pa_owner_driver_limit_amt,distribution_channel,agent_id,partner_id,underwriting_approval_id,payment_frequency,covered_vehicle_usage,insurer_proposer_id,proposer_id,proposer_risk_commencement_date,proposer_risk_end_date,proposer_mobile_no
POL-0011030,NB,In Force (IF),Underwritten (U),1,UIN-226,Motor Insurance,Third-Party,MEM-12924,VEH-11803,Third-Party Only,Metro,2025-03-09,2025-03-09,2026-03-09,2026-03-11,,Y,,POL-0011030,2025-03-09,2026-03-09,5982.23,0.0,5364.14,Y,High risk zone,618.09,5982.2300000000005,374369.39,374369.39,0.025381643856923,0,0,0,0,0,0,0,1,0,1,0,1500000,Bancassurance,AG-1757,PT-1228,UW-1735,Annually,Private,IP-85596,MEM-12924,2025-03-09,2026-03-09,98733920899
POL-0011031,PR,In Force (IF),Underwritten (U),1,UIN-123,Motor Insurance,Third-Party,MEM-12890,VEH-11737,Third-Party Only,Metro,2025-05-30,2025-05-30,2026-05-30,2026-06-05,,Y,POL-5433427,POL-6597685,2025-05-30,2026-05-30,3798.49,0.0,3504.04,Y,High risk zone,294.45,3798.49,537486.01,537486.01,0.0218322218622048,50,700,0,0,0,0,1,0,0,0,1,1500000,Broker,AG-1159,PT-1311,UW-1215,Annually,Private,IP-78583,MEM-12890,2025-05-30,2026-05-30,99733209208
POL-0011032,PR,In Force (IF),Underwritten (U),1,UIN-904,Motor Insurance,Third-Party,MEM-10391,VEH-11726,Third-Party Only,Metro,2024-12-02,2024-12-02,2025-12-02,2025-12-07,,Y,POL-9545570,POL-3780082,2024-12-02,2025-12-02,5021.71,0.0,5021.71,N,,0.0,5021.71,626338.83,626338.83,0.0358692552285164,50,500,0,0,0,0,0,0,1,1,1,1500000,Agent,AG-1880,PT-1057,UW-1437,Monthly,Private,IP-51560,MEM-10391,2024-12-02,2025-12-02,99012171712
POL-0011033,NB,In Force (IF),Standard (S),1,UIN-197,Motor Insurance,Comprehensive,MEM-12991,VEH-12209,Comprehensive,Urban,2025-01-16,2025-01-16,2026-01-16,2026-01-19,,Y,,POL-0011033,2025-01-16,2026-01-16,23112.11,18010.81,5101.3,X,,0.0,23112.11,471140.82,471140.82,0.0382280876309803,0,500,1500,0,1,0,1,0,0,1,1,1500000,Direct Online,AG-1851,PT-1574,UW-1861,Annually,Private,IP-90988,MEM-12991,2025-01-16,2026-01-16,97103100994
POL-0011034,PR,Expired (XP),Standard (S),1,UIN-153,Motor Insurance,Third-Party,MEM-13103,VEH-13025,Third-Party Only,Urban,2024-01-11,2024-01-11,2025-01-10,2025-01-11,,N,POL-2119404,POL-4020265,2024-01-11,,3376.03,0.0,3376.03,N,,0.0,3376.03,376886.94,376886.94,0.023409249346709,0,1000,0,0,0,0,1,0,0,1,1,1500000,Broker,AG-1568,PT-1192,UW-1552,Annually,Private,IP-86139,MEM-13103,2024-01-11,2025-01-10,99819052678
POL-0011035,NB,In Force (IF),Underwritten (U),1,UIN-514,Motor Insurance,Standalone OD,MEM-12393,VEH-13727,Stand-alone OD,Metro,2024-12-23,2024-12-23,2025-12-23,2025-12-29,,Y,,POL-0011035,2024-12-23,2025-12-23,25940.38,25940.38,0.0,N,,0.0,25940.38,675709.87,675709.87,0.0383898254241714,0,500,1000,0,0,0,1,1,0,1,0,1500000,Bancassurance,AG-1367,PT-1331,UW-1223,Annually,Private,IP-41272,MEM-12393,2024-12-23,2025-12-23,98758615196
POL-0011036,NB,In Force (IF),Underwritten (U),1,UIN-317,Motor Insurance,Standalone OD,MEM-11428,VEH-13852,Stand-alone OD,Metro,2025-04-28,2025-04-28,2026-04-28,2026-05-02,,Y,,POL-0011036,2025-04-28,2026-04-28,27960.52,25709.33,0.0,Y,High risk zone,2251.19,27960.52,691023.0,691023.0,0.037204739011278,0,700,1500,0,0,0,1,0,0,1,1,1500000,Broker,AG-1288,PT-1502,UW-1727,Annually,Private,IP-59430,MEM-11428,2025-04-28,2026-04-28,98048454831
POL-0011037,PR,In Force (IF),Underwritten (U),1,UIN-697,Motor Insurance,Third-Party,MEM-10022,VEH-12450,Third-Party Only,Metro,2025-01-01,2025-01-01,2026-01-01,2026-01-02,,Y,POL-6086089,POL-9000678,2025-01-01,2026-01-01,6811.88,0.0,6811.88,N,,0.0,6811.88,194286.41,194286.41,0.0405265472954129,25,700,0,0,0,0,1,0,0,0,1,1500000,Broker,AG-1563,PT-1135,UW-1931,Annually,Private,IP-22598,MEM-10022,2025-01-01,2026-01-01,99559502607
POL-0011038,PR,In Force (IF),Standard (S),1,UIN-667,Motor Insurance,Standalone OD,MEM-10010,VEH-10324,Stand-alone OD,Urban,2025-07-31,2025-07-31,2026-07-31,2026-08-02,,Y,POL-7317895,POL-5172468,2025-07-31,2026-07-31,12334.88,11088.55,0.0,Y,High risk zone,1246.33,12334.88,399419.49,399419.49,0.0347020844934644,20,0,1500,0,0,0,1,0,0,1,1,1500000,Agent,AG-1471,PT-1007,UW-1060,Annually,Private,IP-47797,MEM-10010,2025-07-31,2026-07-31,98657638559
POL-0011039,PR,In Force (IF),Underwritten (U),1,UIN-203,Motor Insurance,Comprehensive,MEM-13278,VEH-11811,Comprehensive,Urban,2024-11-30,2024-11-30,2025-11-30,2025-11-30,,Y,POL-3826300,POL-6329788,2024-11-30,2025-11-30,20706.97,16223.59,4483.38,N,,0.0,20706.97,734765.41,734765.41,0.0294399438305045,25,0,0,1,0,0,0,0,0,1,1,1500000,Broker,AG-1167,PT-1910,UW-1894,Annually,Private,IP-35274,MEM-13278,2024-11-30,2025-11-30,99227239184
POL-0011040,NB,In Force (IF),Underwritten (U),1,UIN-508,Motor Insurance,Third-Party,MEM-11916,VEH-10023,Third-Party Only,Urban,2025-09-03,2025-09-03,2026-09-03,2026-09-03,,Y,,POL-0011040,2025-09-03,2026-09-03,2042.46,0.0,1879.49,Y,Young driver surcharge,162.97,2042.46,697619.13,697619.13,0.037977271423037,0,0,0,0,0,0,1,0,1,1,0,1500000,Agent,AG-1290,PT-1449,UW-1760,Half-Yearly,Private,IP-91690,MEM-11916,2025-09-03,2026-09-03,97007731554
POL-0011041,NB,In Force (IF),Underwritten (U),1,UIN-619,Motor Insurance,Third-Party,MEM-12301,VEH-10520,Third-Party Only,Rural,2025-06-22,2025-06-22,2026-06-22,2026-06-27,,Y,,POL-0011041,2025-06-22,2026-06-22,4625.91,0.0,4314.02,Y,Young driver surcharge,311.89,4625.910000000001,890668.37,890668.37,0.0315596503954125,0,700,0,0,0,0,1,1,1,1,0,1500000,Direct Online,AG-1522,PT-1950,UW-1738,Annually,Private,IP-19737,MEM-12301,2025-06-22,2026-06-22,97878866425
POL-0011042,PR,Terminated (TM),Standard (S),1,UIN-605,Motor Insurance,Third-Party,MEM-13101,VEH-13090,Third-Party Only,Urban,2024-01-22,2024-01-22,2025-01-21,2025-01-26,2025-01-21,X,POL-3551294,POL-6780569,2024-01-22,,3113.58,0.0,3113.58,N,,0.0,3113.58,604464.53,604464.53,0.0412508342994116,0,700,0,0,0,0,1,0,0,1,0,1500000,Broker,AG-1152,PT-1513,UW-1891,Annually,Private,IP-99618,MEM-13101,2024-01-22,2025-01-21,99310098683
POL-0011043,PR,In Force (IF),Underwritten (U),1,UIN-290,Motor Insurance,Third-Party,MEM-12151,VEH-10310,Third-Party Only,Metro,2025-06-18,2025-06-18,2026-06-18,2026-06-23,,Y,POL-4175885,POL-1476425,2025-06-18,2026-06-18,6671.52,0.0,6671.52,N,,0.0,6671.52,623567.52,623567.52,0.0435578473450984,50,1000,0,0,0,0,1,0,1,1,1,1500000,Broker,AG-1481,PT-1651,UW-1935,Half-Yearly,Private,IP-65313,MEM-12151,2025-06-18,2026-06-18,98925160461
POL-0011044,PR,In Force (IF),Standard (S),1,UIN-731,Motor Insurance,Standalone OD,MEM-13070,VEH-14157,Stand-alone OD,Rural,2025-02-07,2025-02-07,2026-02-07,2026-02-13,,Y,POL-7396490,POL-2289908,2025-02-07,2026-02-07,13875.51,13875.51,0.0,X,,0.0,13875.51,563689.38,563689.38,0.0447554973567014,45,1000,1500,0,0,0,0,1,1,0,0,1500000,Broker,AG-1619,PT-1579,UW-1296,Annually,Private,IP-72132,MEM-13070,2025-02-07,2026-02-07,97899163153
POL-0011045,PR,In Force (IF),Underwritten (U),1,UIN-448,Motor Insurance,Third-Party,MEM-11296,VEH-14741,Third-Party Only,Urban,2025-06-19,2025-06-19,2026-06-19,2026-06-22,,Y,POL-2126787,POL-3786281,2025-06-19,2026-06-19,5616.78,0.0,5616.78,N,,0.0,5616.78,1157376.86,1157376.86,0.042542759729704,50,1000,0,0,0,0,1,0,0,1,1,1500000,Broker,AG-1803,PT-1059,UW-1573,Annually,Private,IP-39368,MEM-11296,2025-06-19,2026-06-19,97713600784
POL-0011046,PR,In Force (IF),Standard (S),1,UIN-668,Motor Insurance,Third-Party,MEM-12695,VEH-10740,Third-Party Only,Metro,2025-06-21,2025-06-21,2026-06-21,2026-06-25,,Y,POL-7021066,POL-8959069,2025-06-21,2026-06-21,5417.5,0.0,5417.5,X,,0.0,5417.5,525345.78,525345.78,0.0187971606719262,50,700,0,0,0,0,1,1,1,0,1,1500000,Bancassurance,AG-1088,PT-1859,UW-1062,Annually,Private,IP-99916,MEM-12695,2025-06-21,2026-06-21,98318445456
POL-0011047,NB,Terminated (TM),Underwritten (U),1,UIN-891,Motor Insurance,Third-Party,MEM-10244,VEH-11613,Third-Party Only,Urban,2023-12-21,2023-12-21,2024-12-20,2024-12-27,2024-12-20,X,,POL-0011047,2023-12-21,,3880.25,0.0,3433.22,Y,Young driver surcharge,447.03,3880.25,405418.14,405418.14,0.03851788522606,0,1000,0,0,0,0,1,0,0,1,1,1500000,Bancassurance,AG-1540,PT-1510,UW-1660,Monthly,Private,IP-76224,MEM-10244,2023-12-21,2024-12-20,97298820129
POL-0011048,PR,Terminated (TM),Standard (S),1,UIN-888,Motor Insurance,Standalone OD,MEM-13338,VEH-14408,Stand-alone OD,Urban,2024-07-18,2024-07-18,2025-07-18,2025-07-25,2025-07-18,X,POL-2247063,POL-8893645,2024-07-18,,20488.37,20488.37,0.0,N,,0.0,20488.37,1057999.35,1057999.35,0.0193651963068773,0,700,1500,0,0,0,0,1,0,1,0,1500000,Bancassurance,AG-1453,PT-1441,UW-1873,Annually,Private,IP-73822,MEM-13338,2024-07-18,2025-07-18,98361789850
POL-0011049,PR,In Force (IF),Standard (S),1,UIN-980,Motor Insurance,Comprehensive,MEM-11932,VEH-11842,Comprehensive,Metro,2025-01-15,2025-01-15,2026-01-15,2026-01-22,,Y,POL-4544820,POL-7247534,2025-01-15,2026-01-15,12411.05,8786.35,2204.22,Y,Young driver surcharge,1420.48,12411.05,298315.51,298315.51,0.0392709395417771,25,700,0,1,1,0,0,0,1,0,1,1500000,Bancassurance,AG-1593,PT-1886,UW-1238,Annually,Private,IP-35035,MEM-11932,2025-01-15,2026-01-15,97672709398
POL-0011050,PR,In Force (IF),Standard (S),1,UIN-971,Motor Insurance,Comprehensive,MEM-13164,VEH-14901,Comprehensive,Rural,2025-10-06,2025-10-06,2026-10-06,2026-10-08,,Y,POL-1408923,POL-9071673,2025-10-06,2026-10-06,20396.84,13962.17,6434.67,X,,0.0,20396.84,520816.43,520816.43,0.0357443052442362,25,0,1000,0,0,0,0,0,0,0,0,1500000,Bancassurance,AG-1295,PT-1799,UW-1243,Annually,Private,IP-13387,MEM-13164,2025-10-06,2026-10-06,99326147023
POL-0011051,PR,In Force (IF),Standard (S),1,UIN-920,Motor Insurance,Comprehensive,MEM-13010,VEH-13837,Comprehensive,Urban,2025-10-25,2025-10-25,2026-10-25,2026-10-29,,Y,POL-4371576,POL-5625235,2025-10-25,2026-10-25,14396.07,7126.91,7269.16,N,,0.0,14396.07,362236.76,362236.76,0.0357722416701134,45,1000,1000,1,1,0,1,0,0,1,0,1500000,Bancassurance,AG-1817,PT-1141,UW-1442,Annually,Private,IP-42916,MEM-13010,2025-10-25,2026-10-25,98966591163
POL-0011052,PR,In Force (IF),Underwritten (U),1,UIN-503,Motor Insurance,Comprehensive,MEM-10308,VEH-11509,Comprehensive,Urban,2025-01-11,2025-01-11,2026-01-11,2026-01-11,,Y,POL-8543778,POL-8204797,2025-01-11,2026-01-11,14196.86,9453.57,4743.29,N,,0.0,14196.86,575854.3,575854.3,0.0218887930958323,25,500,1500,0,0,0,1,0,0,0,1,1500000,Bancassurance,AG-1207,PT-1509,UW-1892,Annually,Private,IP-67147,MEM-10308,2025-01-11,2026-01-11,98700017967
POL-0011053,NB,In Force (IF),Standard (S),1,UIN-391,Motor Insurance,Third-Party,MEM-11415,VEH-12743,Third-Party Only,Urban,2025-10-20,2025-10-20,2026-10-20,2026-10-26,,Y,,POL-0011053,2025-10-20,2026-10-20,2956.38,0.0,2956.38,X,,0.0,2956.38,535058.84,535058.84,0.0205056888437086,0,0,0,0,0,0,0,0,1,0,0,1500000,Agent,AG-1349,PT-1180,UW-1544,Annually,Private,IP-25362,MEM-11415,2025-10-20,2026-10-20,97119809886
POL-0011054,NB,In Force (IF),Standard (S),1,UIN-762,Motor Insurance,Third-Party,MEM-13426,VEH-14435,Third-Party Only,Rural,2025-08-20,2025-08-20,2026-08-20,2026-08-23,,Y,,POL-0011054,2025-08-20,2026-08-20,6253.22,0.0,6253.22,X,,0.0,6253.22,289624.27,289624.27,0.0384180203464745,0,700,0,0,0,0,0,1,1,1,0,1500000,Agent,AG-1110,PT-1919,UW-1381,Annually,Private,IP-94675,MEM-13426,2025-08-20,2026-08-20,99998690635
POL-0011055,NB,In Force (IF),Underwritten (U),1,UIN-589,Motor Insurance,Third-Party,MEM-11827,VEH-14648,Third-Party Only,Rural,2025-10-04,2025-10-04,2026-10-04,2026-10-07,,Y,,POL-0011055,2025-10-04,2026-10-04,3311.87,0.0,3311.87,X,,0.0,3311.87,1807444.68,1807444.68,0.0226514095730457,0,700,0,0,0,0,1,0,1,1,1,1500000,Direct Online,AG-1931,PT-1356,UW-1569,Annually,Private,IP-94731,MEM-11827,2025-10-04,2026-10-04,98205302411
POL-0011056,PR,In Force (IF),Standard (S),1,UIN-976,Motor Insurance,Comprehensive,MEM-12738,VEH-11100,Comprehensive,Urban,2025-03-17,2025-03-17,2026-03-17,2026-03-19,,Y,POL-7119805,POL-4912792,2025-03-17,2026-03-17,17402.12,10684.6,6717.52,N,,0.0,17402.120000000003,382820.64,382820.64,0.0429387382320407,35,1000,1000,0,0,0,1,0,0,1,1,1500000,Agent,AG-1677,PT-1771,UW-1988,Annually,Private,IP-35063,MEM-12738,2025-03-17,2026-03-17,97841017753
POL-0011057,NB,In Force (IF),Standard (S),1,UIN-204,Motor Insurance,Comprehensive,MEM-12351,VEH-12991,Comprehensive,Metro,2024-11-05,2024-11-05,2025-11-05,2025-11-10,,Y,,POL-0011057,2024-11-05,2025-11-05,16071.93,13404.57,2667.36,N,,0.0,16071.93,364737.07,364737.07,0.0367513140103895,0,500,0,1,0,1,1,0,0,0,0,1500000,Broker,AG-1016,PT-1343,UW-1800,Monthly,Private,IP-90380,MEM-12351,2024-11-05,2025-11-05,99345796949
POL-0011058,NB,In Force (IF),Underwritten (U),1,UIN-133,Motor Insurance,Third-Party,MEM-11136,VEH-14523,Third-Party Only,Urban,2025-04-20,2025-04-20,2026-04-20,2026-04-26,,Y,,POL-0011058,2025-04-20,2026-04-20,1705.05,0.0,1705.05,N,,0.0,1705.05,326381.61,326381.61,0.0156890995546339,0,700,0,0,0,0,1,0,1,0,1,1500000,Bancassurance,AG-1145,PT-1426,UW-1045,Annually,Private,IP-68128,MEM-11136,2025-04-20,2026-04-20,98551694735
POL-0011059,PR,In Force (IF),Standard (S),1,UIN-226,Motor Insurance,Standalone OD,MEM-13196,VEH-12468,Stand-alone OD,Rural,2025-07-08,2025-07-08,2026-07-08,2026-07-10,,Y,POL-9721561,POL-7164809,2025-07-08,2026-07-08,4737.98,4737.98,0.0,N,,0.0,4737.98,228889.19,228889.19,0.0413997853163505,50,0,0,0,0,0,1,1,1,0,0,1500000,Bancassurance,AG-1896,PT-1692,UW-1991,Annually,Private,IP-32473,MEM-13196,2025-07-08,2026-07-08,97634402248
POL-0011060,NB,In Force (IF),Underwritten (U),1,UIN-704,Motor Insurance,Standalone OD,MEM-12617,VEH-10618,Stand-alone OD,Metro,2025-07-27,2025-07-27,2026-07-27,2026-07-30,,Y,,POL-0011060,2025-07-27,2026-07-27,16712.71,16712.71,0.0,N,,0.0,16712.71,418207.42,418207.42,0.039962739992641,0,500,1500,0,0,0,0,0,0,1,0,1500000,Broker,AG-1017,PT-1797,UW-1841,Annually,Private,IP-69242,MEM-12617,2025-07-27,2026-07-27,97176281540
POL-0011061,PR,In Force (IF),Standard (S),1,UIN-477,Motor Insurance,Third-Party,MEM-10592,VEH-13155,Third-Party Only,Rural,2025-07-13,2025-07-13,2026-07-13,2026-07-18,,Y,POL-9748154,POL-4392375,2025-07-13,2026-07-13,5382.33,0.0,5095.62,Y,Young driver surcharge,286.71,5382.33,439964.59,439964.59,0.0421562234511019,50,1000,0,0,0,0,1,0,0,0,0,1500000,Broker,AG-1096,PT-1303,UW-1979,Annually,Private,IP-69447,MEM-10592,2025-07-13,2026-07-13,99448445394
POL-0011062,PR,In Force (IF),Underwritten (U),1,UIN-894,Motor Insurance,Standalone OD,MEM-12174,VEH-11828,Stand-alone OD,Urban,2025-09-29,2025-09-29,2026-09-29,2026-09-30,,Y,POL-8977959,POL-7466150,2025-09-29,2026-09-29,12703.5,12703.5,0.0,N,,0.0,12703.5,605316.3,605316.3,0.0279820673866109,25,500,1500,0,0,0,1,1,1,0,1,1500000,Bancassurance,AG-1759,PT-1358,UW-1130,Annually,Private,IP-88396,MEM-12174,2025-09-29,2026-09-29,99049842631
POL-0011063,PR,In Force (IF),Standard (S),1,UIN-931,Motor Insurance,Standalone OD,MEM-11037,VEH-11808,Stand-alone OD,Metro,2025-05-04,2025-05-04,2026-05-04,2026-05-04,,Y,POL-5645039,POL-2731632,2025-05-04,2026-05-04,12422.96,12422.96,0.0,N,,0.0,12422.96,533465.28,533465.28,0.0358265846634317,35,500,2000,0,0,0,0,0,1,1,1,1500000,Broker,AG-1735,PT-1484,UW-1434,Annually,Private,IP-18159,MEM-11037,2025-05-04,2026-05-04,99829809185
POL-0011064,NB,In Force (IF),Standard (S),1,UIN-957,Motor Insurance,Comprehensive,MEM-11272,VEH-11932,Comprehensive,Urban,2024-11-17,2024-11-17,2025-11-17,2025-11-19,,Y,,POL-0011064,2024-11-17,2025-11-17,40229.7,34451.98,2707.75,Y,Young driver surcharge,3069.97,40229.7,765970.44,765970.44,0.044978209066855,0,500,1500,1,1,0,0,0,1,1,0,1500000,Agent,AG-1697,PT-1336,UW-1880,Annually,Private,IP-75652,MEM-11272,2024-11-17,2025-11-17,97348835892
POL-0011065,PR,Expired (XP),Underwritten (U),1,UIN-820,Motor Insurance,Third-Party,MEM-12932,VEH-10258,Third-Party Only,Urban,2024-09-11,2024-09-11,2025-09-11,2025-09-17,,N,POL-5250397,POL-7157347,2024-09-11,,3339.06,0.0,3079.43,Y,NCB declaration error,259.63,3339.06,1188460.72,1188460.72,0.0341108051001221,0,0,0,0,0,0,1,0,1,1,0,1500000,Agent,AG-1621,PT-1441,UW-1966,Annually,Private,IP-16539,MEM-12932,2024-09-11,2025-09-11,98223549511
POL-0011066,NB,In Force (IF),Standard (S),1,UIN-523,Motor Insurance,Third-Party,MEM-11021,VEH-11429,Third-Party Only,Metro,2025-06-23,2025-06-23,2026-06-23,2026-06-27,,Y,,POL-0011066,2025-06-23,2026-06-23,3858.89,0.0,3476.54,Y,NCB declaration error,382.35,3858.89,380647.12,380647.12,0.0213703073134828,0,0,0,0,0,0,1,0,0,0,0,1500000,Agent,AG-1548,PT-1698,UW-1128,Annually,Private,IP-78231,MEM-11021,2025-06-23,2026-06-23,98864602169
POL-0011067,NB,In Force (IF),Underwritten (U),1,UIN-775,Motor Insurance,Third-Party,MEM-10646,VEH-12887,Third-Party Only,Urban,2025-04-17,2025-04-17,2026-04-17,2026-04-21,,Y,,POL-0011067,2025-04-17,2026-04-17,4329.08,0.0,4329.08,X,,0.0,4329.08,626680.9,626680.9,0.0319119980487785,0,1000,0,0,0,0,0,0,1,1,1,1500000,Direct Online,AG-1428,PT-1161,UW-1063,Annually,Private,IP-62738,MEM-10646,2025-04-17,2026-04-17,98947037613
POL-0011068,PR,In Force (IF),Standard (S),1,UIN-703,Motor Insurance,Third-Party,MEM-10313,VEH-14355,Third-Party Only,Urban,2025-10-02,2025-10-02,2026-10-02,2026-10-04,,Y,POL-2410537,POL-4667155,2025-10-02,2026-10-02,6945.66,0.0,6945.66,N,,0.0,6945.66,517294.29,517294.29,0.0314800829653617,35,1000,0,0,0,0,1,0,0,0,1,1500000,Bancassurance,AG-1819,PT-1537,UW-1842,Annually,Private,IP-96904,MEM-10313,2025-10-02,2026-10-02,98612510887
POL-0011069,PR,In Force (IF),Underwritten (U),1,UIN-805,Motor Insurance,Comprehensive,MEM-10712,VEH-14068,Comprehensive,Rural,2025-01-19,2025-01-19,2026-01-19,2026-01-20,,Y,POL-1431071,POL-2862440,2025-01-19,2026-01-19,16841.47,15222.08,1619.39,N,,0.0,16841.47,534635.26,534635.26,0.0355898629084206,20,700,2000,0,1,0,0,1,1,0,0,1500000,Direct Online,AG-1604,PT-1175,UW-1002,Annually,Private,IP-46703,MEM-10712,2025-01-19,2026-01-19,98345224078
POL-0011070,PR,In Force (IF),Underwritten (U),1,UIN-558,Motor Insurance,Standalone OD,MEM-11181,VEH-14917,Stand-alone OD,Rural,2025-04-26,2025-04-26,2026-04-26,2026-04-30,,Y,POL-5290043,POL-7986372,2025-04-26,2026-04-26,6874.62,6874.62,0.0,N,,0.0,6874.62,601090.83,601090.83,0.0207943797449417,45,700,0,0,0,0,0,1,1,1,0,1500000,Bancassurance,AG-1631,PT-1547,UW-1829,Annually,Private,IP-29542,MEM-11181,2025-04-26,2026-04-26,99807363366
POL-0011071,PR,In Force (IF),Standard (S),1,UIN-721,Motor Insurance,Standalone OD,MEM-10277,VEH-10037,Stand-alone OD,Urban,2025-05-25,2025-05-25,2026-05-25,2026-05-30,,Y,POL-3884790,POL-7344281,2025-05-25,2026-05-25,5644.85,5644.85,0.0,X,,0.0,5644.85,495330.19,495330.19,0.015194834024269,25,0,1000,0,0,0,1,1,1,1,0,1500000,Bancassurance,AG-1181,PT-1758,UW-1079,Annually,Private,IP-46896,MEM-10277,2025-05-25,2026-05-25,99235474259
POL-0011072,PR,In Force (IF),Standard (S),1,UIN-615,Motor Insurance,Standalone OD,MEM-11500,VEH-11093,Stand-alone OD,Urban,2025-02-24,2025-02-24,2026-02-24,2026-02-28,,Y,POL-3246425,POL-7868898,2025-02-24,2026-02-24,8969.84,8969.84,0.0,X,,0.0,8969.84,847343.72,847343.72,0.0192469677317534,45,0,0,0,0,0,1,0,0,1,1,1500000,Broker,AG-1035,PT-1192,UW-1070,Annually,Private,IP-33257,MEM-11500,2025-02-24,2026-02-24,98111066573
POL-0011073,PR,In Force (IF),Standard (S),1,UIN-676,Motor Insurance,Third-Party,MEM-13421,VEH-10517,Third-Party Only,Urban,2025-02-17,2025-02-17,2026-02-17,2026-02-20,,Y,POL-7088429,POL-4068447,2025-02-17,2026-02-17,4678.96,0.0,4365.33,Y,High risk zone,313.63,4678.96,1156383.82,1156383.82,0.0240117712888572,50,0,0,0,0,0,0,0,1,1,1,1500000,Direct Online,AG-1232,PT-1557,UW-1039,Annually,Private,IP-88034,MEM-13421,2025-02-17,2026-02-17,99857985488
POL-0011074,PR,In Force (IF),Standard (S),1,UIN-356,Motor Insurance,Third-Party,MEM-12212,VEH-10842,Third-Party Only,Urban,2025-05-16,2025-05-16,2026-05-16,2026-05-21,,Y,POL-7468831,POL-9030467,2025-05-16,2026-05-16,6063.22,0.0,6063.22,N,,0.0,6063.22,621921.41,621921.41,0.0429148875271229,35,500,0,0,0,0,1,0,0,1,1,1500000,Broker,AG-1643,PT-1786,UW-1605,Half-Yearly,Private,IP-37444,MEM-12212,2025-05-16,2026-05-16,97786100011
POL-0011075,NB,In Force (IF),Standard (S),1,UIN-802,Motor Insurance,Comprehensive,MEM-12766,VEH-13226,Comprehensive,Urban,2025-07-28,2025-07-28,2026-07-28,2026-07-31,,Y,,POL-0011075,2025-07-28,2026-07-28,9938.03,6500.21,2399.7,Y,High risk zone,1038.12,9938.03,410580.7,410580.7,0.0158317503961249,0,700,1000,0,0,0,0,0,1,0,1,1500000,Direct Online,AG-1897,PT-1296,UW-1855,Annually,Private,IP-45005,MEM-12766,2025-07-28,2026-07-28,99002212408
POL-0011076,PR,In Force (IF),Underwritten (U),1,UIN-235,Motor Insurance,Comprehensive,MEM-13195,VEH-13337,Comprehensive,Metro,2025-09-03,2025-09-03,2026-09-03,2026-09-05,,Y,POL-1859323,POL-7294290,2025-09-03,2026-09-03,14577.11,11489.73,3087.38,N,,0.0,14577.11,599565.31,599565.31,0.0383268533043452,50,1000,0,0,0,0,1,0,1,1,0,1500000,Bancassurance,AG-1646,PT-1234,UW-1217,Annually,Private,IP-21353,MEM-13195,2025-09-03,2026-09-03,98681419195
POL-0011077,PR,In Force (IF),Underwritten (U),1,UIN-452,Motor Insurance,Third-Party,MEM-11612,VEH-13286,Third-Party Only,Urban,2025-05-22,2025-05-22,2026-05-22,2026-05-29,,Y,POL-3454475,POL-7184797,2025-05-22,2026-05-22,2887.87,0.0,2887.87,X,,0.0,2887.87,899052.17,899052.17,0.0365780643650379,20,700,0,0,0,0,1,0,0,1,0,1500000,Direct Online,AG-1302,PT-1107,UW-1719,Annually,Private,IP-30599,MEM-11612,2025-05-22,2026-05-22,99604329057
POL-0011078,NB,Expired (XP),Standard (S),1,UIN-957,Motor Insurance,Third-Party,MEM-13249,VEH-14915,Third-Party Only,Urban,2024-04-06,2024-04-06,2025-04-06,2025-04-06,,N,,POL-0011078,2024-04-06,,1766.8,0.0,1766.8,N,,0.0,1766.8,620067.71,620067.71,0.0377943181027635,0,700,0,0,0,0,0,1,1,1,1,1500000,Bancassurance,AG-1428,PT-1852,UW-1335,Annually,Private,IP-24403,MEM-13249,2024-04-06,2025-04-06,98503335984
POL-0011079,NB,In Force (IF),Standard (S),1,UIN-676,Motor Insurance,Comprehensive,MEM-12437,VEH-10218,Comprehensive,Urban,2025-01-22,2025-01-22,2026-01-22,2026-01-28,,Y,,POL-0011079,2025-01-22,2026-01-22,15303.36,10390.01,4913.35,N,,0.0,15303.36,239173.73,239173.73,0.0434412781187924,0,700,1500,0,0,1,1,0,0,1,1,1500000,Direct Online,AG-1186,PT-1506,UW-1065,Annually,Private,IP-80863,MEM-12437,2025-01-22,2026-01-22,98582249385
