damaged_part_key,reference_num,product_index,claim_id,manufacturer_name,model_name,model_variant,num_parts_group_cd,txt_parts_group_name,txt_parts_name,cur_garage_estimate,cur_billed_amount,cur_surveyor_approval,num_tax,cur_tax_amount,num_depreciation,cur_depreciation_amount,cur_net_amount,txt_info1,txt_info2,txt_info3,num_part_code,txt_repair_type,dat_insert_date,surveyor_id,garage_id
DPRT-006329,977a9a3c-4c97-4e94-be8d-4211b873eea2,N014290,CLM-00956,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Fender Panel Front Right,4228.12,3952.14,3952.14,28.0,1106.6,40.0,1580.86,3477.88,Rush job,Customer escalated delay,,194,Replace,2025-11-03,SUR-25,GAR-159
DPRT-006330,e7afc8c5-4f96-4fa5-b6c6-60a3558321d8,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,3,Rubber Plastic Parts,Fog Light Front Left,6859.29,6415.09,6415.09,28.0,1796.23,40.0,2566.04,5645.28,,,,313,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006331,27eec76a-b3f4-4c10-a743-38322317b2ed,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,3,Rubber Plastic Parts,Bumper Front Assembly,7193.52,6791.12,6791.12,28.0,1901.51,5.0,339.56,8353.07,Rush job,,,341,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006332,dac314be-039f-43eb-bd2a-2d01c7fd05d7,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,3,Rubber Plastic Parts,Cover Fog Light Right,1313.72,1217.55,1217.55,28.0,340.91,40.0,487.02,1071.44,,,,385,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006333,241cedbb-487e-4749-ac60-f2f24634ce47,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,3,Rubber Plastic Parts,Head Light Left,25430.61,23132.91,23132.91,18.0,4163.92,40.0,9253.16,18043.67,Pre-existing damage suspected,,,328,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006334,ce21b919-c55e-472c-be59-6829c0d08555,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,1,Metalic Parts,Fender Panel Front Left,5735.16,5252.6,5252.6,28.0,1470.73,40.0,2101.04,4622.29,,Surveyor noted minor scratch,,171,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006335,4f452014-f7ed-4e4a-b5ef-803f10bbfd6b,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,3,Rubber Plastic Parts,Reservoir Tank Assembly Windshield Washer,1443.45,1321.8,1321.8,18.0,237.92,40.0,528.72,1031.0,Pre-existing damage suspected,Surveyor noted minor scratch,,303,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006336,56e35021-4554-4f89-ad92-9e79f2d75b43,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,3,Rubber Plastic Parts,Radiator Assembly,9861.58,9299.12,9299.12,28.0,2603.75,40.0,3719.65,8183.22,Pre-existing damage suspected,,,342,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006337,a10f3cbf-1291-4768-9641-9b1731ad4e09,N010977,CLM-00957,HYUNDAI,CRETA,1.5 E DIESEL,3,Rubber Plastic Parts,Fender Wheel Well Lining|Guard|Cover Right,1606.99,1496.59,1496.59,18.0,269.39,35.0,523.81,1242.17,Part ordered late,,,353,Replace,2025-11-03,SUR-35,GAR-165
DPRT-006338,94a1fbfa-019e-40fe-a4f0-290210e3f43b,N055527,CLM-00958,MARUTI,VITARA BREZZA,VXI,3,Rubber Plastic Parts,Moulding Front Windshield,949.78,895.65,895.65,18.0,161.22,40.0,358.26,698.61,,Surveyor noted minor scratch,,385,Replace,2025-11-03,SUR-30,GAR-186
DPRT-006339,70f81a59-1ce7-422b-8021-8c4d63db9d90,N055527,CLM-00958,MARUTI,VITARA BREZZA,VXI,3,Rubber Plastic Parts,Radiator Cooling Fan Assembly,8033.01,7438.61,7438.61,28.0,2082.81,40.0,2975.44,6545.98,Part ordered late,,,347,Replace,2025-11-03,SUR-30,GAR-186
DPRT-006340,ef1ff399-4054-4c6b-8574-8c95e00a6a19,N014290,CLM-00959,MARUTI,SWIFT,VDI (DIESEL),1,Metalic Parts,Quarter Panel Rear Right,16828.55,15384.4,15384.4,28.0,4307.63,40.0,6153.76,13538.27,,Customer escalated delay,,131,Replace,2025-11-03,SUR-28,GAR-171
DPRT-006341,43a00d27-80e8-4421-930a-a355e2d26e17,N014290,CLM-00959,MARUTI,SWIFT,VDI (DIESEL),3,Rubber Plastic Parts,Bumper Front Assembly,5473.76,5105.4,5105.4,28.0,1429.51,40.0,2042.16,4492.75,Part ordered late,,,341,Replace,2025-11-03,SUR-28,GAR-171
DPRT-006342,4d675c74-302b-438e-bb1a-b1b98784be92,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Head Light Left,23866.29,22019.87,22019.87,28.0,6165.56,40.0,8807.95,19377.48,Part ordered late,Customer escalated delay,,328,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006343,1aa18e9b-c8b9-4356-84f2-23c4bb65e459,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,1,Metalic Parts,AC Condenser Assembly,13413.63,12412.44,12412.44,18.0,2234.24,0.0,0.0,14646.68,,Customer escalated delay,,133,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006344,416a3a5a-3c8a-48f3-8652-6182c58d8217,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bracket Front Bumper Right,320.75,297.69,297.69,28.0,83.35,40.0,119.08,261.96,Pre-existing damage suspected,Customer escalated delay,,342,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006345,04640628-6d41-44a0-a4c7-145d373fcc12,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Fog Light Front Left,6631.33,6106.43,6106.43,28.0,1709.8,40.0,2442.57,5373.66,Part ordered late,Surveyor noted minor scratch,,313,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006346,aba61ce0-f307-47d0-bbba-185e58750a77,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bracket 1,588.95,548.8,548.8,28.0,153.66,0.0,0.0,702.46,Part ordered late,Surveyor noted minor scratch,,360,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006347,7b73580d-5b55-4c3d-b56f-525b50f89ce0,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bumper Front Lower,4119.44,3779.38,3779.38,18.0,680.29,40.0,1511.75,2947.92,,,,335,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006348,a42e607d-28aa-4e8a-a33a-4f26390a8919,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bracket Front Bumper Left,357.79,329.24,329.24,28.0,92.19,40.0,131.7,289.73,Rush job,Surveyor noted minor scratch,,324,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006349,dc635117-3db7-4c5c-a5cb-3e805927abb8,N161521,CLM-00960,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bumper Front Assembly,7025.11,6464.36,6464.36,0.0,0.0,40.0,2585.74,3878.62,,,,341,Replace,2025-11-03,SUR-11,GAR-179
DPRT-006350,8fa7ea9a-c0af-47b5-823d-8c757627bbed,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),3,Rubber Plastic Parts,Bumper Rear Lower,4193.96,3956.39,3956.39,28.0,1107.79,0.0,0.0,5064.18,,Surveyor noted minor scratch,,386,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006351,69df091e-05aa-475d-8a16-3cb21600bdcc,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),3,Rubber Plastic Parts,Bumper Rear Assembly,7344.5,6741.04,6741.04,28.0,1887.49,40.0,2696.42,5932.11,Rush job,Surveyor noted minor scratch,,347,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006352,10db22f9-b447-481f-80ec-629876b6a789,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),3,Rubber Plastic Parts,AC Gas - Refrigerant,1672.31,1530.18,1530.18,28.0,428.45,5.0,76.51,1882.12,Part ordered late,Customer escalated delay,,395,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006353,5b1d6ba8-107d-4064-87e4-ac635841874f,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),1,Metalic Parts,Hinge Bonnet|Hood Left,981.9,908.24,908.24,28.0,254.31,10.0,90.82,1071.73,Pre-existing damage suspected,Surveyor noted minor scratch,,189,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006354,3006fd62-48dd-4b31-893d-ca96395c3ccf,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),1,Metalic Parts,Door Front Left,17030.13,15701.52,15701.52,28.0,4396.43,40.0,6280.61,13817.34,Part ordered late,Customer escalated delay,,182,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006355,8204ad75-1532-4bee-80e7-de43e84891a7,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),3,Rubber Plastic Parts,Bumper Rear Upper,6074.12,5577.62,5577.62,28.0,1561.73,40.0,2231.05,4908.3,,Surveyor noted minor scratch,,343,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006356,3160b258-1a17-4c8b-9a25-e743812b5b5a,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),3,Rubber Plastic Parts,Bracket 1,493.17,454.24,454.24,28.0,127.19,5.0,22.71,558.72,Rush job,,,360,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006357,265cc43a-6d12-4e2d-87f1-410114352a17,N161521,CLM-00961,MARUTI,SWIFT,VDI (DIESEL),1,Metalic Parts,Quarter Panel Rear Right,17535.55,16123.08,16123.08,28.0,4514.46,40.0,6449.23,14188.31,,,,131,Replace,2025-11-03,SUR-54,GAR-171
DPRT-006358,3bee09f0-e32e-47bf-a20f-1504cc725ed7,N010976,CLM-00962,MARUTI,BALENO HATCHBACK,Zeta 1.2,1,Metalic Parts,Fender Panel Front Left,4303.89,3971.48,3971.48,28.0,1112.01,40.0,1588.59,3494.9,,Customer escalated delay,,171,Replace,2025-11-03,SUR-38,GAR-149
DPRT-006359,f8c3b831-e207-4ab9-820f-e7eafa5cc562,N010976,CLM-00962,MARUTI,BALENO HATCHBACK,Zeta 1.2,1,Metalic Parts,Bonnet|Hood Assembly,12577.99,11568.77,11568.77,18.0,2082.38,25.0,2892.19,10758.96,Pre-existing damage suspected,Surveyor noted minor scratch,,181,Replace,2025-11-03,SUR-38,GAR-149
DPRT-006360,5a8ab933-9af2-4253-90b2-a946fb851d8b,N010976,CLM-00962,MARUTI,BALENO HATCHBACK,Zeta 1.2,3,Rubber Plastic Parts,Grille Radiator Lower,2125.8,1960.2,1960.2,0.0,0.0,40.0,784.08,1176.12,,Customer escalated delay,,389,Replace,2025-11-03,SUR-38,GAR-149
DPRT-006361,d030b1ec-fe09-4f7a-bc53-68e036c6fd32,N010977,CLM-00963,HONDA,AMAZE,VX PETROL,1,Metalic Parts,Hinge Bonnet|Hood Right,1056.4,972.15,972.15,0.0,0.0,40.0,388.86,583.29,Rush job,Customer escalated delay,,104,Replace,2025-11-03,SUR-41,GAR-196
DPRT-006362,ec25c8d5-ba20-4e0d-8b27-f659448e6848,N010977,CLM-00963,HONDA,AMAZE,VX PETROL,3,Rubber Plastic Parts,Bumper Front Assembly,6237.17,5682.14,5682.14,0.0,0.0,5.0,284.11,5398.03,Part ordered late,Customer escalated delay,,341,Replace,2025-11-03,SUR-41,GAR-196
DPRT-006363,b2bbe904-8801-41b7-88d4-d7080e3f06c0,N010977,CLM-00963,HONDA,AMAZE,VX PETROL,3,Rubber Plastic Parts,Carrier Bulkhead Radiator Support,13962.43,12720.57,12720.57,28.0,3561.76,40.0,5088.23,11194.1,Part ordered late,,,321,Replace,2025-11-03,SUR-41,GAR-196
DPRT-006364,4dced966-820a-4e04-8a66-4d6f0d902f9e,N010977,CLM-00963,HONDA,AMAZE,VX PETROL,3,Rubber Plastic Parts,Grille Radiator Middle,7421.37,6795.89,6795.89,28.0,1902.85,10.0,679.59,8019.15,Rush job,Surveyor noted minor scratch,,339,Replace,2025-11-03,SUR-41,GAR-196
DPRT-006365,4c0e1482-9858-488e-8e90-839aabe8e727,N010977,CLM-00963,HONDA,AMAZE,VX PETROL,3,Rubber Plastic Parts,Sealant Front Windshield Glass 1,2638.2,2443.95,2443.95,28.0,684.31,40.0,977.58,2150.68,,,,385,Replace,2025-11-03,SUR-41,GAR-196
DPRT-006366,2de43d03-db5d-490d-b7a8-637302cabdf6,N010977,CLM-00963,HONDA,AMAZE,VX PETROL,4,Glass Parts,Windshield Glass Front,14729.98,13978.8,13978.8,28.0,3914.06,40.0,5591.52,12301.34,Pre-existing damage suspected,,,407,Replace,2025-11-03,SUR-41,GAR-196
DPRT-006367,cd025534-c510-460b-b2c7-1a39248732c1,N010977,CLM-00963,HONDA,AMAZE,VX PETROL,1,Metalic Parts,Fender Panel Front Left,4758.8,4394.86,4394.86,28.0,1230.56,40.0,1757.94,3867.48,Pre-existing damage suspected,,,171,Replace,2025-11-03,SUR-41,GAR-196
DPRT-006368,a2f09c03-eb4e-4cd1-8cfb-b0c7ce1aebe5,N003410,CLM-00964,MARUTI,BALENO HATCHBACK,Delta 1.2,1,Metalic Parts,Door Rear Left,19272.31,18270.31,18270.31,28.0,5115.69,40.0,7308.12,16077.88,Rush job,,,150,Replace,2025-11-03,SUR-25,GAR-102
DPRT-006369,fb22432a-fd0e-4f7f-bcc0-2cf6cee460bc,N003410,CLM-00964,MARUTI,BALENO HATCHBACK,Delta 1.2,3,Rubber Plastic Parts,Fender Wheel Well Lining|Guard|Cover Left,1214.38,1124.96,1124.96,28.0,314.99,40.0,449.98,989.97,Part ordered late,,,317,Replace,2025-11-03,SUR-25,GAR-102
DPRT-006370,56f1108a-8662-4b32-878f-6d5973ba37f6,N003410,CLM-00964,MARUTI,BALENO HATCHBACK,Delta 1.2,3,Rubber Plastic Parts,Bracket 1,455.47,426.41,426.41,28.0,119.39,40.0,170.56,375.24,Part ordered late,Surveyor noted minor scratch,,360,Replace,2025-11-03,SUR-25,GAR-102
DPRT-006371,9db0f5f9-0c61-4f72-a809-c5e3bf0e510e,N161523,CLM-00965,MARUTI,SWIFT DZIRE,VDI,1,Metalic Parts,Fender Panel Front Right,4121.33,3800.69,3800.69,18.0,684.12,40.0,1520.28,2964.53,,,,194,Replace,2025-11-03,SUR-29,GAR-123
DPRT-006372,d59bf4a2-d56b-45a7-a79e-2dd6ee94e8e8,N161523,CLM-00965,MARUTI,SWIFT DZIRE,VDI,3,Rubber Plastic Parts,Side Rear View Mirror Outer Assembly Right,8091.33,7564.05,7564.05,28.0,2117.93,40.0,3025.62,6656.36,Pre-existing damage suspected,,,304,Replace,2025-11-03,SUR-29,GAR-123
DPRT-006373,6fd868d0-9398-4543-847f-a8d37da70707,N161523,CLM-00965,MARUTI,SWIFT DZIRE,VDI,3,Rubber Plastic Parts,Sealant Front Windshield Glass 1,2326.67,2159.85,2159.85,0.0,0.0,40.0,863.94,1295.91,Part ordered late,Surveyor noted minor scratch,,385,Replace,2025-11-03,SUR-29,GAR-123
DPRT-006374,342a0ad1-2d58-4cc0-9d36-ca056fcc01a2,N014289,CLM-00966,MARUTI,SWIFT,VDI (DIESEL),1,Metalic Parts,Fender Panel Front Left,4165.08,3909.5,3909.5,18.0,703.71,40.0,1563.8,3049.41,Part ordered late,Surveyor noted minor scratch,,171,Replace,2025-11-03,SUR-23,GAR-174
DPRT-006375,aec9e947-bb0d-4b1b-beac-b8343a724d88,N014289,CLM-00966,MARUTI,SWIFT,VDI (DIESEL),3,Rubber Plastic Parts,Cover Fog Light Left,1042.16,990.65,990.65,28.0,277.38,25.0,247.66,1020.37,,,,373,Replace,2025-11-03,SUR-23,GAR-174
DPRT-006376,9cb8df95-67e0-4ae4-a3e1-816d125a988e,N014290,CLM-00967,MARUTI,ERTIGA,1.5 VXI CNG,1,Metalic Parts,Door Front Left,17088.91,15880.76,15880.76,28.0,4446.61,40.0,6352.3,13975.07,,Customer escalated delay,,182,Replace,2025-11-03,SUR-44,GAR-105
DPRT-006377,15d82434-e375-4fde-8264-3b8566c5c6cc,N014290,CLM-00967,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Head Light Left,19668.1,18433.85,18433.85,28.0,5161.48,40.0,7373.54,16221.79,Pre-existing damage suspected,Customer escalated delay,,328,Replace,2025-11-03,SUR-44,GAR-105
DPRT-006378,6dd45173-1299-45ab-8eba-12e7bfc04f07,N014290,CLM-00967,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Head Light Right,18879.5,17456.42,17456.42,0.0,0.0,40.0,6982.57,10473.85,Part ordered late,,,367,Replace,2025-11-03,SUR-44,GAR-105
DPRT-006379,a6a0b6bc-1294-4aaa-ad4d-3896f719de00,N014290,CLM-00967,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Side Rear View Mirror Outer Assembly Left,8974.53,8432.94,8432.94,18.0,1517.93,25.0,2108.24,7842.63,Part ordered late,,,306,Replace,2025-11-03,SUR-44,GAR-105
DPRT-006380,740a1e96-8ddf-49d7-8990-01000efafbd5,N014290,CLM-00967,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Fender Wheel Well Lining|Guard|Cover Left,1280.18,1212.06,1212.06,28.0,339.38,40.0,484.82,1066.62,Rush job,Customer escalated delay,,317,Replace,2025-11-03,SUR-44,GAR-105
DPRT-006381,e458a0e3-ba80-4191-ad3c-e2d48d80f0dc,N014290,CLM-00967,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Tail Light Left,6573.13,6107.97,6107.97,28.0,1710.23,40.0,2443.19,5375.01,,,,326,Replace,2025-11-03,SUR-44,GAR-105
DPRT-006382,305cc5ce-52a2-40e3-ac1d-f7d8c2280161,N014290,CLM-00967,MARUTI,ERTIGA,1.5 VXI CNG,3,Rubber Plastic Parts,Bracket Front Bumper Right,273.93,249.21,249.21,28.0,69.78,0.0,0.0,318.99,Rush job,Surveyor noted minor scratch,,342,Replace,2025-11-03,SUR-44,GAR-105
DPRT-006383,4b1eb40e-d401-4dfc-9c6b-9b794bb53076,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,1,Metalic Parts,Door Front Right,21150.08,19576.03,19576.03,28.0,5481.29,25.0,4894.01,20163.31,Part ordered late,,,198,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006384,5de4003b-235c-4a7f-8f0b-bd3483f2175d,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,1,Metalic Parts,A Pillar Front Left,12886.87,11994.29,11994.29,28.0,3358.4,40.0,4797.72,10554.97,Rush job,,,199,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006385,9df2cd59-d381-487a-957a-3d00e19589dd,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Tail Light Left,7792.77,7216.19,7216.19,28.0,2020.53,40.0,2886.48,6350.24,Pre-existing damage suspected,Customer escalated delay,,326,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006386,1b0639af-2015-4d0c-a848-371c1619180d,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,1,Metalic Parts,Fender Panel Front Right,5168.52,4839.03,4839.03,28.0,1354.93,0.0,0.0,6193.96,Pre-existing damage suspected,Surveyor noted minor scratch,,194,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006387,4f777395-9e6e-40a6-96e3-e6e1c7031cf1,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Side Rear View Mirror Outer Assembly Right,10576.22,9630.54,9630.54,18.0,1733.5,40.0,3852.22,7511.82,Part ordered late,Surveyor noted minor scratch,,304,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006388,c0070b02-01e8-4cd8-8785-a0aee61a19a0,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Head Light Right,22439.5,20623.68,20623.68,28.0,5774.63,40.0,8249.47,18148.84,Part ordered late,,,367,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006389,287eb6eb-b1df-4bfa-8a44-9c4b97f9176b,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bumper Front Assembly,6974.17,6393.49,6393.49,28.0,1790.18,10.0,639.35,7544.32,,Surveyor noted minor scratch,,341,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006390,7c4df699-01af-4fa0-a579-738af9db1419,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,1,Metalic Parts,Bonnet|Hood Assembly,15294.82,14404.76,14404.76,28.0,4033.33,40.0,5761.9,12676.19,,Surveyor noted minor scratch,,181,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006391,82976fd8-3276-4ae9-a0b2-b7473ae4364f,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Fender Wheel Well Lining|Guard|Cover Left,1538.16,1431.98,1431.98,28.0,400.95,40.0,572.79,1260.14,Rush job,Customer escalated delay,,317,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006392,03cd01cc-115d-4c3c-b206-b89687d46117,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Grille Radiator Lower,2580.65,2440.73,2440.73,18.0,439.33,40.0,976.29,1903.77,Pre-existing damage suspected,,,389,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006393,74721065-865c-44f4-b156-827dd37d4c76,N003410,CLM-00968,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Moulding Front Windshield,1125.54,1062.41,1062.41,28.0,297.47,15.0,159.36,1200.52,Part ordered late,Surveyor noted minor scratch,,385,Replace,2025-11-03,SUR-41,GAR-167
DPRT-006394,f4ab7dbc-d816-495f-9752-b9805b8ad969,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Tail Light Right,8007.04,7423.87,7423.87,0.0,0.0,0.0,0.0,7423.87,Pre-existing damage suspected,,,336,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006395,7b161482-1431-432b-9c07-6df43356b4ac,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bumper Rear Assembly,9100.21,8559.38,8559.38,18.0,1540.69,40.0,3423.75,6676.32,Rush job,Customer escalated delay,,347,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006396,c4e3720b-df85-4e56-9f86-e4f72b347199,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bumper Front Assembly,7452.56,6793.81,6793.81,28.0,1902.27,0.0,0.0,8696.08,Pre-existing damage suspected,,,341,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006397,7c7f1490-3b1b-414f-bd38-6670f5b60da4,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bracket 1,631.5,576.77,576.77,28.0,161.5,40.0,230.71,507.56,Pre-existing damage suspected,Surveyor noted minor scratch,,360,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006398,92780f06-4fde-44e9-b9e0-eeb91a327e43,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Side Rear View Mirror Outer Assembly Left,11392.59,10586.81,10586.81,28.0,2964.31,40.0,4234.72,9316.4,Rush job,,,306,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006399,0d2a95b9-476c-4ef4-9d2a-5ca001f45aae,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Bracket 2,654.94,606.56,606.56,18.0,109.18,25.0,151.64,564.1,Pre-existing damage suspected,,,319,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006400,e07076ba-2fbb-431b-a4de-f3389e841567,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Sealant Rear Windshield Glass 1,2537.16,2364.35,2364.35,28.0,662.02,15.0,354.65,2671.72,Rush job,Customer escalated delay,,320,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006401,3a990f75-e66e-48d9-830a-5e3d6ddb379f,N014289,CLM-00969,HYUNDAI,CRETA,1.4 E Plus,3,Rubber Plastic Parts,Tail Light Left,8054.22,7668.02,7668.02,28.0,2147.05,40.0,3067.21,6747.86,Rush job,,,326,Replace,2025-11-03,SUR-24,GAR-185
DPRT-006402,b88af780-cc21-44bd-b3a4-352c47a18c06,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Cover Fog Light Left,1131.08,1047.33,1047.33,28.0,293.25,40.0,418.93,921.65,Pre-existing damage suspected,Surveyor noted minor scratch,,373,Replace,2025-11-03,SUR-52,GAR-178
DPRT-006403,47799d8c-e17f-43b6-bba3-55222755ee14,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Bumper Front Assembly,5856.88,5343.81,5343.81,28.0,1496.27,40.0,2137.52,4702.56,,Surveyor noted minor scratch,,341,Replace,2025-11-03,SUR-52,GAR-178
DPRT-006404,8ce09359-b644-4c39-8c56-cec874080e37,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,1,Metalic Parts,Hinge Bonnet|Hood Right,978.4,914.27,914.27,28.0,256.0,40.0,365.71,804.56,Rush job,Surveyor noted minor scratch,,104,Replace,2025-11-03,SUR-52,GAR-178
DPRT-006405,9cff5db5-d97e-48f4-ab9c-7265c62e5a6a,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Bracket Front Bumper Right,268.7,246.09,246.09,28.0,68.91,40.0,98.44,216.56,Pre-existing damage suspected,Surveyor noted minor scratch,,342,Replace,2025-11-03,SUR-52,GAR-178
DPRT-006406,a114079f-9eb6-40f0-bc62-f65b90b4355d,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Bracket 1,498.4,453.67,453.67,28.0,127.03,40.0,181.47,399.23,Part ordered late,Surveyor noted minor scratch,,360,Replace,2025-11-03,SUR-52,GAR-178
DPRT-006407,a39a3d35-74e0-4e0e-b0c5-204584bd4ed3,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Radiator Assembly,7876.35,7317.32,7317.32,28.0,2048.85,40.0,2926.93,6439.24,Rush job,,,342,Replace,2025-11-03,SUR-52,GAR-178
DPRT-006408,e090d530-5375-4fc6-8f19-d813afa1c817,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,3,Rubber Plastic Parts,Grille Radiator Middle,6764.75,6391.25,6391.25,28.0,1789.55,40.0,2556.5,5624.3,Pre-existing damage suspected,Surveyor noted minor scratch,,339,Replace,2025-11-03,SUR-52,GAR-178
DPRT-006409,f06cd055-be65-4f05-9f8a-b9aed45a1b64,N014290,CLM-00970,MARUTI,SWIFT,1.2 VXi BS IV,1,Metalic Parts,Bonnet|Hood Assembly,12864.25,12039.79,12039.79,28.0,3371.14,40.0,4815.92,10595.01,Rush job,Surveyor noted minor scratch,,181,Replace,2025-11-03,SUR-52,GAR-178
